,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol,Class
35,0.052083,0.204545,0.0,0.062069,0.041995,0.366197,0.358491,0.112335,0.713043,0.251613,1.0,0
36,0.052083,0.204545,0.0,0.062069,0.041995,0.366197,0.358491,0.112335,0.713043,0.251613,1.0,0
37,0.229167,0.375,0.128205,0.096552,0.104987,0.15493,0.150943,0.428047,0.486957,0.116129,0.321429,0
38,0.364583,0.272727,0.564103,0.131034,0.144357,0.140845,0.232704,0.545521,0.582609,0.135484,0.375,0
39,0.270833,0.193182,0.602564,0.082759,0.112861,0.056338,0.031447,0.420705,0.408696,0.083871,0.339286,0
40,0.21875,0.5,0.230769,0.068966,0.11811,0.239437,0.503145,0.494126,0.634783,0.109677,0.160714,0
41,0.322917,0.420455,0.051282,0.055172,0.110236,0.225352,0.157233,0.464758,0.408696,0.103226,0.285714,0
42,0.21875,0.534091,0.089744,0.082759,0.144357,0.140845,0.238994,0.383994,0.530435,0.096774,0.357143,0
43,0.34375,0.295455,0.217949,0.075862,0.102362,0.070423,0.075472,0.523495,0.373913,0.135484,0.142857,0
44,0.34375,0.295455,0.217949,0.075862,0.102362,0.070423,0.075472,0.523495,0.373913,0.135484,0.142857,0
45,0.28125,0.522727,0.064103,0.068966,0.089239,0.323944,0.226415,0.442731,0.486957,0.109677,0.553571,0
46,0.291667,0.409091,0.538462,0.096552,0.139108,0.098592,0.201258,0.523495,0.626087,0.135484,0.375,0
47,0.208333,0.522727,0.269231,0.068966,0.11811,0.098592,0.352201,0.508811,0.573913,0.116129,0.160714,0
48,0.177083,0.238636,0.320513,0.068966,0.104987,0.28169,0.27044,0.538179,0.617391,0.141935,0.25,0
49,0.708333,0.159091,0.769231,0.075862,0.086614,0.15493,0.132075,0.589574,0.217391,0.367742,0.303571,0
50,0.239583,0.306818,0.461538,0.048276,0.144357,0.183099,0.194969,0.446402,0.417391,0.103226,0.142857,0
51,0.520833,0.420455,0.769231,0.075862,0.013123,0.056338,0.081761,0.424376,0.382609,0.296774,0.714286,0
52,0.34375,0.642045,0.307692,0.131034,0.128609,0.126761,0.352201,0.497797,0.426087,0.103226,0.285714,0
53,0.71875,0.318182,0.820513,0.082759,0.065617,0.056338,0.056604,0.582232,0.304348,0.174194,0.321429,0
54,0.322917,0.653409,0.102564,0.103448,0.152231,0.126761,0.220126,0.538179,0.330435,0.2,0.25,0
55,0.322917,0.204545,0.474359,0.075862,0.125984,0.323944,0.327044,0.464758,0.417391,0.122581,0.178571,0
56,0.40625,0.551136,0.320513,0.075862,0.128609,0.098592,0.138365,0.593245,0.365217,0.129032,0.285714,0
57,0.3125,0.306818,0.320513,0.117241,0.102362,0.394366,0.358491,0.446402,0.443478,0.116129,0.375,0
58,0.4375,0.488636,0.641026,0.075862,0.795276,0.366197,0.471698,0.464758,0.156522,0.780645,0.196429,0
59,0.3125,0.306818,0.320513,0.117241,0.102362,0.394366,0.358491,0.446402,0.443478,0.116129,0.375,0
60,0.34375,0.25,0.076923,0.062069,0.115486,0.15493,0.27044,0.453744,0.443478,0.077419,0.267857,0
61,0.395833,0.238636,0.25641,0.131034,0.146982,0.239437,0.327044,0.582232,0.417391,0.193548,0.214286,0
62,0.364583,0.954545,0.115385,0.096552,0.081365,0.084507,0.194969,0.497797,0.4,0.096774,0.107143,0
63,0.260417,0.534091,0.0,0.068966,0.165354,0.183099,0.201258,0.490455,0.443478,0.116129,0.107143,0
64,0.260417,0.534091,0.0,0.068966,0.165354,0.183099,0.201258,0.490455,0.443478,0.116129,0.107143,0
65,0.260417,0.551136,0.0,0.068966,0.165354,0.197183,0.207547,0.490455,0.443478,0.116129,0.142857,0
66,0.260417,0.534091,0.0,0.068966,0.165354,0.183099,0.201258,0.490455,0.443478,0.116129,0.107143,0
67,0.364583,0.954545,0.115385,0.096552,0.081365,0.084507,0.194969,0.497797,0.4,0.096774,0.107143,0
68,0.760417,0.25,0.717949,0.082759,0.154856,0.070423,0.113208,0.674009,0.243478,0.2,0.446429,0
69,0.3125,0.477273,0.128205,0.062069,0.178478,0.380282,0.647799,0.409692,0.191304,0.058065,0.25,0
70,0.270833,0.568182,0.0,0.075862,0.131234,0.070423,0.106918,0.604258,0.652174,0.36129,0.267857,0
71,0.3125,0.420455,0.076923,0.055172,0.104987,0.112676,0.207547,0.446402,0.426087,0.051613,0.25,0
72,0.270833,0.568182,0.0,0.075862,0.131234,0.070423,0.106918,0.604258,0.652174,0.36129,0.267857,0
73,0.635417,0.181818,0.564103,0.048276,0.076115,0.211268,0.194969,0.618943,0.313043,0.245161,0.285714,0
74,0.25,0.5,0.0,0.062069,0.104987,0.211268,0.176101,0.523495,0.530435,0.193548,0.267857,0
75,0.25,0.5,0.0,0.062069,0.104987,0.211268,0.176101,0.523495,0.530435,0.193548,0.267857,0
76,0.333333,0.215909,0.589744,0.186207,0.115486,0.197183,0.194969,0.530837,0.426087,0.296774,0.785714,1
77,0.229167,0.431818,0.051282,0.144828,0.112861,0.084507,0.132075,0.633627,0.721739,0.329032,0.178571,0
78,0.708333,0.022727,0.653846,0.213793,0.183727,0.042254,0.106918,0.699706,0.365217,0.367742,0.303571,0
79,0.333333,0.4375,0.076923,0.213793,0.139108,0.366197,0.345912,0.4721,0.434783,0.174194,0.410714,0
80,0.708333,0.022727,0.653846,0.213793,0.183727,0.042254,0.106918,0.699706,0.365217,0.367742,0.303571,0
81,0.333333,0.4375,0.076923,0.213793,0.139108,0.366197,0.345912,0.4721,0.434783,0.174194,0.410714,0
82,0.229167,0.431818,0.051282,0.144828,0.112861,0.084507,0.132075,0.633627,0.721739,0.329032,0.178571,0
83,0.708333,0.022727,0.653846,0.213793,0.183727,0.042254,0.106918,0.699706,0.365217,0.367742,0.303571,0
84,0.583333,0.181818,0.576923,0.37931,0.102362,0.056338,0.044025,0.552863,0.321739,0.270968,0.75,1
85,0.697917,0.113636,0.564103,0.186207,0.097113,0.070423,0.081761,0.626285,0.226087,0.270968,0.160714,0
86,0.760417,0.329545,0.705128,0.075862,0.102362,0.338028,0.27044,0.707048,0.208696,0.232258,0.339286,0
87,0.291667,0.272727,0.153846,0.144828,0.152231,0.394366,0.295597,0.486784,0.443478,0.193548,0.339286,0
88,0.59375,0.443182,0.294872,0.124138,0.149606,0.239437,0.264151,0.685022,0.313043,0.154839,0.339286,0
89,0.229167,0.227273,0.320513,0.103448,0.167979,0.056338,0.062893,0.464758,0.478261,0.129032,0.303571,0
90,0.895833,0.204545,0.666667,0.158621,0.15748,0.225352,0.295597,0.831865,0.165217,0.264516,0.196429,0
91,0.291667,0.420455,0.076923,0.117241,0.136483,0.267606,0.238994,0.4721,0.452174,0.122581,0.410714,0
92,0.666667,0.022727,0.615385,0.041379,0.089239,0.084507,0.056604,0.530837,0.313043,0.154839,0.303571,0
93,0.583333,0.420455,0.615385,0.110345,0.076115,0.070423,0.119497,0.714391,0.226087,0.122581,0.160714,0
94,0.583333,0.284091,0.538462,0.103448,0.469816,0.070423,0.050314,0.685022,0.286957,0.141935,0.196429,0
95,0.583333,0.306818,0.564103,0.103448,0.472441,0.056338,0.037736,0.685022,0.286957,0.148387,0.196429,0
96,0.28125,0.147727,0.487179,0.055172,0.073491,0.112676,0.150943,0.494126,0.478261,0.083871,0.196429,0
97,0.583333,0.420455,0.615385,0.110345,0.076115,0.070423,0.119497,0.714391,0.226087,0.122581,0.160714,0
98,0.333333,0.420455,0.307692,0.075862,0.099738,0.197183,0.622642,0.435389,0.356522,0.090323,0.178571,0
99,0.447917,0.340909,0.397436,0.131034,0.154856,0.253521,0.578616,0.593245,0.4,0.148387,0.196429,0
100,0.25,0.215909,0.371795,0.110345,0.16273,0.267606,0.295597,0.450073,0.486957,0.16129,0.464286,0
101,0.510417,0.693182,0.153846,0.137931,0.125984,0.408451,0.427673,0.629956,0.382609,0.154839,0.357143,0
102,0.510417,0.693182,0.153846,0.137931,0.125984,0.408451,0.427673,0.629956,0.382609,0.154839,0.357143,0
103,0.583333,0.488636,0.538462,0.131034,0.146982,0.478873,0.421384,0.655653,0.365217,0.193548,0.196429,0
104,0.552083,0.375,0.25641,0.696552,0.097113,0.169014,0.27673,0.839207,0.26087,0.187097,0.142857,0
105,0.552083,0.375,0.25641,0.696552,0.097113,0.169014,0.27673,0.839207,0.26087,0.187097,0.142857,0
106,0.90625,0.125,0.794872,0.117241,0.125984,0.070423,0.09434,0.743759,0.26087,0.174194,0.232143,0
107,0.572917,0.227273,0.820513,0.137931,0.230971,0.126761,0.220126,0.582232,0.321739,0.167742,0.732143,0
108,0.572917,0.227273,0.820513,0.137931,0.230971,0.126761,0.220126,0.582232,0.321739,0.167742,0.732143,0
109,0.34375,0.477273,0.358974,0.158621,0.08399,0.28169,0.679245,0.530837,0.313043,0.090323,0.178571,0
110,0.4375,0.306818,0.576923,0.068966,0.047244,0.070423,0.062893,0.347283,0.426087,0.193548,0.732143,0
111,0.802083,0.375,0.74359,0.144828,0.181102,0.380282,0.584906,0.787812,0.26087,0.387097,0.553571,0
112,0.78125,0.204545,0.641026,0.103448,0.08399,0.126761,0.09434,0.729075,0.226087,0.503226,0.142857,0
113,0.614583,0.295455,0.615385,0.124138,0.081365,0.056338,0.075472,0.523495,0.304348,0.303226,0.517857,0
114,0.645833,0.261364,0.602564,0.062069,0.220472,0.070423,0.050314,0.596916,0.382609,0.225806,0.25,0
115,0.645833,0.261364,0.602564,0.062069,0.220472,0.070423,0.050314,0.596916,0.382609,0.225806,0.25,0
116,0.75,0.465909,0.641026,0.117241,0.125984,0.070423,0.163522,0.773128,0.226087,0.245161,0.410714,0
117,0.947917,0.375,0.858974,0.144828,0.154856,0.070423,0.056604,0.626285,0.13913,0.341935,0.642857,0
118,0.510417,0.454545,0.397436,0.131034,0.144357,0.197183,0.251572,0.57489,0.217391,0.335484,0.285714,0
119,0.458333,0.710227,0.0,0.117241,0.154856,0.140845,0.138365,0.685022,0.434783,0.296774,0.178571,0
120,0.625,0.579545,0.282051,0.124138,0.191601,0.225352,0.176101,0.758443,0.365217,0.374194,0.267857,0
121,0.458333,0.721591,0.0,0.117241,0.16273,0.140845,0.125786,0.685022,0.426087,0.277419,0.178571,0
122,0.145833,0.056818,0.512821,0.034483,0.08399,0.556338,1.0,0.082966,0.33913,0.122581,0.625,0
123,0.208333,0.670455,0.012821,0.103448,0.115486,0.225352,0.163522,0.398678,0.6,0.135484,0.785714,0
124,0.822917,0.25,0.846154,0.117241,0.141732,0.126761,0.220126,0.802496,0.269565,0.180645,0.25,0
125,0.40625,0.329545,0.397436,0.117241,0.136483,0.28169,0.27673,0.596916,0.443478,0.329032,0.267857,0
126,0.552083,0.295455,0.641026,0.172414,0.191601,0.084507,0.09434,0.57489,0.347826,0.341935,0.607143,0
127,0.333333,0.090909,0.512821,0.048276,0.057743,0.140845,0.119497,0.486784,0.4,0.303226,0.053571,0
128,0.458333,0.136364,0.615385,0.062069,0.086614,0.352113,0.251572,0.486784,0.4,0.412903,0.392857,0
129,0.96875,0.284091,0.807692,0.2,0.144357,0.070423,0.257862,0.831865,0.130435,0.264516,0.428571,0
130,0.708333,0.329545,0.641026,0.144828,0.115486,0.253521,0.257862,0.751101,0.347826,0.458065,0.464286,0
131,0.697917,0.528409,0.846154,0.365517,0.141732,0.070423,0.113208,0.640969,0.217391,0.380645,0.875,0
132,0.375,0.295455,0.487179,0.110345,0.15748,0.323944,0.339623,0.57489,0.391304,0.193548,0.428571,0
133,0.375,0.113636,0.538462,0.075862,0.120735,0.140845,0.132075,0.538179,0.304348,0.258065,0.178571,0
134,0.9375,0.289773,0.871795,0.137931,0.133858,0.225352,0.232704,0.831865,0.173913,0.258065,0.285714,0
135,0.375,0.113636,0.538462,0.075862,0.120735,0.140845,0.132075,0.538179,0.304348,0.258065,0.178571,0
136,0.375,0.113636,0.538462,0.075862,0.120735,0.140845,0.132075,0.538179,0.304348,0.258065,0.178571,0
137,0.28125,0.534091,0.089744,0.103448,0.146982,0.140845,0.194969,0.57489,0.495652,0.232258,0.232143,0
138,0.322917,0.431818,0.333333,0.075862,0.141732,0.309859,0.264151,0.589574,0.478261,0.219355,0.142857,0
139,0.375,0.568182,0.192308,0.068966,0.11811,0.225352,0.226415,0.523495,0.391304,0.090323,0.214286,0
140,0.322917,0.340909,0.333333,0.068966,0.141732,0.309859,0.295597,0.589574,0.495652,0.219355,0.142857,0
141,0.09375,0.784091,0.064103,0.034483,0.028871,0.15493,0.515723,0.171072,0.608696,0.270968,0.803571,1
142,0.9375,0.289773,0.871795,0.137931,0.133858,0.225352,0.232704,0.831865,0.173913,0.258065,0.285714,0
143,0.708333,0.488636,0.75641,0.117241,0.139108,0.169014,0.27044,0.640969,0.278261,0.16129,0.464286,0
144,0.708333,0.488636,0.75641,0.117241,0.139108,0.169014,0.27044,0.640969,0.278261,0.16129,0.464286,0
145,0.3125,0.113636,0.384615,0.055172,0.065617,0.267606,0.201258,0.354626,0.373913,0.045161,0.428571,0
146,0.78125,0.363636,0.692308,0.117241,0.133858,0.253521,0.36478,0.729075,0.208696,0.135484,0.375,0
147,0.697917,0.5,0.628205,0.124138,0.133858,0.126761,0.220126,0.685022,0.252174,0.148387,0.375,0
148,0.416667,0.170455,0.589744,0.034483,0.065617,0.140845,0.119497,0.479442,0.434783,0.232258,0.303571,0
149,0.53125,0.318182,0.602564,0.110345,0.076115,0.112676,0.138365,0.589574,0.330435,0.16129,0.428571,0
150,0.59375,0.204545,0.74359,0.193103,0.367454,0.070423,0.062893,0.508811,0.286957,0.193548,0.517857,0
151,0.447917,0.306818,0.435897,0.110345,0.120735,0.352113,0.503145,0.633627,0.452174,0.141935,0.196429,0
152,0.614583,0.363636,0.820513,0.089655,0.2021,0.070423,0.08805,0.508811,0.347826,0.167742,0.589286,0
153,0.75,0.25,0.653846,0.075862,0.228346,0.084507,0.08805,0.699706,0.330435,0.232258,0.357143,0
154,0.177083,0.579545,0.102564,0.082759,0.028871,0.253521,0.264151,0.354626,0.547826,0.058065,0.535714,0
155,0.5,0.704545,0.282051,0.068966,0.112861,0.070423,0.163522,0.640969,0.347826,0.103226,0.392857,0
156,0.84375,0.772727,0.807692,0.103448,0.141732,0.169014,0.18239,0.707048,0.208696,0.129032,0.357143,0
157,0.75,0.238636,0.884615,0.096552,0.115486,0.15493,0.113208,0.420705,0.121739,0.16129,0.785714,0
158,0.59375,0.284091,0.705128,0.158621,0.110236,0.295775,0.301887,0.699706,0.252174,0.316129,0.267857,0
159,0.34375,0.579545,0.384615,0.075862,0.068241,0.521127,0.352201,0.420705,0.347826,0.103226,0.321429,0
160,0.666667,0.329545,0.935897,0.158621,0.08399,0.070423,0.100629,0.626285,0.269565,0.167742,0.5,0
161,0.59375,0.284091,0.705128,0.158621,0.110236,0.295775,0.301887,0.699706,0.252174,0.316129,0.267857,0
162,0.822917,0.170455,0.923077,0.089655,0.099738,0.070423,0.144654,0.633627,0.017391,0.270968,0.25,1
163,0.75,0.272727,0.833333,0.086207,0.089239,0.084507,0.132075,0.640969,0.173913,0.180645,0.517857,0
164,0.5,0.653409,0.128205,0.082759,0.11811,0.070423,0.157233,0.626285,0.321739,0.103226,0.303571,0
165,0.40625,0.420455,0.282051,0.075862,0.173228,0.084507,0.132075,0.486784,0.295652,0.103226,0.321429,0
166,0.75,0.261364,0.884615,0.131034,0.160105,0.225352,0.18239,0.685022,0.208696,0.135484,0.428571,0
167,0.75,0.261364,0.884615,0.131034,0.160105,0.225352,0.18239,0.685022,0.208696,0.135484,0.428571,0
168,0.385417,0.238636,0.679487,0.062069,0.994751,0.112676,0.125786,0.57489,0.173913,0.425806,0.125,0
169,0.21875,0.454545,0.038462,0.055172,0.131234,0.239437,0.18239,0.494126,0.504348,0.148387,0.285714,0
170,0.6875,0.522727,0.858974,0.296552,0.136483,0.070423,0.081761,0.640969,0.313043,0.187097,0.892857,1
171,0.46875,0.306818,0.666667,0.096552,0.128609,0.183099,0.106918,0.552863,0.426087,0.135484,0.517857,0
172,0.708333,0.176136,0.692308,0.082759,0.131234,0.056338,0.056604,0.633627,0.104348,0.193548,0.142857,0
173,0.583333,0.386364,0.538462,0.075862,0.091864,0.28169,0.283019,0.596916,0.26087,0.206452,0.553571,0
174,0.427083,0.340909,0.576923,0.117241,0.081365,0.084507,0.075472,0.339941,0.4,0.251613,1.0,0
175,0.697917,0.227273,0.884615,0.082759,0.146982,0.070423,0.09434,0.729075,0.269565,0.141935,0.142857,0
176,0.510417,0.431818,0.538462,0.103448,0.12336,0.338028,0.289308,0.508811,0.295652,0.2,0.535714,0
177,0.8125,0.238636,0.705128,0.117241,0.128609,0.338028,0.389937,0.692364,0.252174,0.270968,0.357143,0
178,0.604167,0.136364,0.653846,0.055172,0.120735,0.126761,0.113208,0.596916,0.295652,0.316129,0.178571,0
179,0.59375,0.090909,0.628205,0.062069,0.107612,0.070423,0.08805,0.560206,0.278261,0.425806,0.464286,0
180,0.489583,0.596591,0.141026,0.124138,0.112861,0.070423,0.157233,0.611601,0.286957,0.193548,0.303571,0
181,0.489583,0.159091,0.717949,0.131034,0.120735,0.070423,0.069182,0.464758,0.252174,0.335484,0.589286,1
182,0.614583,0.318182,0.871795,0.22069,0.209974,0.070423,0.113208,0.508811,0.173913,0.167742,0.892857,0
183,0.572917,0.551136,0.461538,0.062069,0.049869,0.056338,0.050314,0.596916,0.269565,0.012903,0.285714,0
184,0.479167,0.261364,0.512821,0.117241,0.102362,0.126761,0.125786,0.611601,0.417391,0.225806,0.321429,0
185,0.479167,0.698864,0.346154,0.131034,0.115486,0.323944,0.314465,0.611601,0.391304,0.174194,0.392857,0
186,0.416667,0.602273,0.397436,0.144828,0.136483,0.309859,0.471698,0.743759,0.53913,0.219355,0.571429,0
187,0.1875,0.261364,0.294872,0.510345,0.044619,0.380282,0.534591,0.376652,0.504348,0.096774,0.660714,0
188,0.625,0.215909,0.679487,0.117241,0.094488,0.056338,0.062893,0.523495,0.252174,0.16129,0.464286,1
189,0.322917,0.409091,0.320513,0.068966,0.12336,0.183099,0.201258,0.611601,0.495652,0.16129,0.107143,0
190,0.625,0.215909,0.679487,0.117241,0.094488,0.056338,0.062893,0.523495,0.252174,0.16129,0.464286,1
191,0.416667,0.602273,0.397436,0.144828,0.136483,0.309859,0.471698,0.743759,0.53913,0.219355,0.571429,0
192,0.322917,0.409091,0.320513,0.068966,0.12336,0.183099,0.201258,0.611601,0.495652,0.16129,0.107143,0
193,0.677083,0.579545,0.705128,0.096552,0.131234,0.070423,0.044025,0.729075,0.269565,0.2,0.196429,0
194,0.552083,0.488636,0.397436,0.089655,0.146982,0.352113,0.352201,0.685022,0.278261,0.148387,0.321429,0
195,0.552083,0.488636,0.397436,0.089655,0.146982,0.352113,0.352201,0.685022,0.278261,0.148387,0.321429,0
196,0.625,0.272727,0.615385,0.082759,0.238845,0.197183,0.27044,0.582232,0.147826,0.264516,0.232143,0
197,0.8125,0.5,0.628205,0.234483,0.173228,0.056338,0.050314,0.802496,0.33913,0.219355,0.625,0
198,0.645833,0.056818,0.628205,0.131034,0.141732,0.140845,0.163522,0.523495,0.313043,0.180645,0.589286,0
199,0.53125,0.102273,0.628205,0.124138,0.141732,0.197183,0.169811,0.596916,0.486957,0.322581,0.285714,0
200,0.239583,0.25,0.628205,0.110345,0.165354,0.450704,0.496855,0.450073,0.46087,0.23871,0.535714,0
201,0.364583,0.295455,0.628205,0.117241,0.131234,0.43662,0.308176,0.640969,0.417391,0.225806,0.053571,0
202,0.458333,0.068182,0.307692,0.082759,0.115486,0.0,0.138365,0.655653,0.478261,0.303226,0.339286,0
203,0.583333,0.125,0.307692,0.082759,0.099738,0.197183,0.169811,0.406021,0.313043,0.167742,0.785714,0
204,0.552083,0.363636,0.307692,0.124138,0.178478,0.169014,0.163522,0.729075,0.365217,0.103226,0.285714,0
205,0.458333,0.068182,0.307692,0.082759,0.115486,0.0,0.138365,0.655653,0.478261,0.303226,0.339286,0
206,0.354167,0.755682,0.307692,0.082759,0.131234,0.056338,0.044025,0.523495,0.443478,0.23871,0.410714,0
207,0.5,0.340909,0.628205,0.372414,0.07874,0.056338,0.069182,0.640969,0.304348,0.212903,0.464286,0
208,0.677083,0.568182,0.307692,0.110345,0.133858,0.211268,0.295597,0.67768,0.173913,0.206452,0.464286,0
209,1.0,0.170455,0.948718,0.062069,0.107612,0.070423,0.056604,0.787812,0.0,0.251613,0.0,0
210,0.291667,0.443182,0.307692,0.075862,0.115486,0.126761,0.138365,0.604258,0.513043,0.245161,0.196429,0
211,0.614583,0.170455,0.628205,0.110345,0.086614,0.070423,0.09434,0.633627,0.347826,0.296774,0.410714,0
212,0.802083,0.215909,0.628205,0.117241,0.11811,0.366197,0.396226,0.685022,0.226087,0.225806,0.357143,0
213,0.447917,0.420455,0.628205,0.068966,0.35958,0.070423,0.119497,0.545521,0.356522,0.135484,0.178571,0
214,0.21875,0.397727,0.012821,0.082759,0.104987,0.112676,0.119497,0.420705,0.408696,0.103226,0.196429,0
215,0.489583,0.306818,0.307692,0.131034,0.152231,0.183099,0.245283,0.582232,0.286957,0.212903,0.285714,0
216,0.5,0.340909,0.307692,0.124138,0.152231,0.183099,0.238994,0.582232,0.226087,0.219355,0.285714,0
217,0.645833,0.420455,0.628205,0.255172,0.220472,0.126761,0.069182,0.743759,0.182609,0.103226,0.589286,0
218,0.645833,0.420455,0.628205,0.255172,0.220472,0.126761,0.069182,0.743759,0.182609,0.103226,0.589286,0
219,0.864583,0.352273,0.628205,0.234483,0.133858,0.070423,0.257862,0.88326,0.382609,0.180645,0.767857,0
220,0.302083,0.147727,0.628205,0.124138,0.152231,0.338028,0.339623,0.516153,0.391304,0.135484,0.303571,0
221,0.864583,0.352273,0.628205,0.234483,0.133858,0.070423,0.257862,0.88326,0.382609,0.180645,0.767857,0
222,0.416667,0.613636,0.307692,0.110345,0.503937,0.056338,0.056604,0.662996,0.4,0.129032,0.107143,0
223,0.416667,0.613636,0.307692,0.110345,0.503937,0.056338,0.056604,0.662996,0.4,0.129032,0.107143,0
224,0.53125,0.386364,0.628205,0.117241,0.566929,0.056338,0.08805,0.655653,0.391304,0.251613,0.410714,0
225,0.15625,0.227273,0.307692,0.089655,0.160105,0.253521,0.226415,0.332599,0.617391,0.109677,0.589286,0
226,0.708333,0.215909,0.628205,0.165517,0.094488,0.126761,0.194969,0.751101,0.4,0.329032,0.464286,0
227,0.15625,0.227273,0.307692,0.089655,0.160105,0.253521,0.226415,0.332599,0.617391,0.109677,0.589286,0
228,0.614583,0.204545,0.628205,0.158621,0.115486,0.267606,0.45283,0.670338,0.286957,0.193548,0.285714,0
229,0.791667,0.125,0.628205,0.151724,0.11811,0.380282,0.251572,0.67768,0.295652,0.258065,0.321429,0
230,0.614583,0.170455,0.628205,0.089655,0.076115,0.239437,0.213836,0.552863,0.243478,0.070968,0.25,0
231,0.302083,0.397727,0.307692,0.103448,0.149606,0.098592,0.201258,0.582232,0.530435,0.167742,0.214286,0
232,0.03125,0.295455,0.307692,0.075862,0.068241,0.253521,0.27673,0.119677,0.747826,0.219355,1.0,1
233,0.197917,0.261364,0.628205,0.055172,0.094488,0.309859,0.899371,0.156388,0.226087,0.064516,0.553571,0
234,0.802083,0.272727,0.653846,0.075862,0.065617,0.070423,0.113208,0.685022,0.156522,0.129032,0.160714,0
235,0.75,0.477273,0.74359,0.068966,0.097113,0.056338,0.075472,0.582232,0.2,0.148387,0.285714,0
